#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-20T01:41:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-20T01:41:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&-out.max=2000&-c.eq=J2000&-out=HIP,_RAJ2000,_DEJ2000,Vmag&Vmag=0..6.5	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
HIP	_RAJ2000	_DEJ2000	Vmag
  2383	007.6088239085	-48.2149103960	 5.67
  2388	007.6159387029	-40.9395858722	 6.18
  2422	007.7294997941	+77.0194043102	 6.18
  2472	007.8540863152	-48.8035143859	 4.76
  2474	007.8551258929	+66.5196173237	 6.18
  2475	007.8568323266	+33.5816421691	 5.88
  2484	007.8861108670	-62.9582176386	 4.36
  2487	007.8894504483	-62.9655611444	 4.53
  2497	007.9214897049	+52.8395265023	 5.59
  2505	007.9431621395	+54.5222887334	 4.74
  2548	008.0990914941	+06.9554632142	 5.69
  2568	008.1478579825	+20.2943164299	 5.38
  2578	008.1829378646	-63.0314998424	 5.07
  2583	008.2045292881	+28.2802406178	 6.26
  2599	008.2499652217	+62.9317827058	 4.17
  2611	008.2933108623	+54.8949849530	 5.93
  2628	008.3302789994	+70.9818432305	 6.41
  2629	008.3473285772	-71.2662464136	 6.11
  2661	008.4210100336	-29.5582781996	 5.55
  2663	008.4325252267	-35.0020783524	 6.41
  2707	008.6038394321	+66.7503514294	 6.47
  2711	008.6159695141	-52.3730900650	 5.57
  2734	008.7306805228	+13.3711366574	 6.39
  2762	008.8119967403	-03.5928464918	 5.20
  2787	008.8868059980	-00.5056096286	 5.94
  2789	008.8889106694	-54.8218727245	 6.04
  2802	008.9215665447	-48.0009067282	 5.51
  2832	008.9783394443	+13.2070672974	 6.32
  2846	009.0131518258	-14.9730350845	 6.45
  2852	009.0285721950	-22.8423333184	 6.06
  2854	009.0346268113	+54.1684501455	 5.08
  2876	009.1139397243	+60.3262146064	 5.78
  2889	009.1568795973	-65.1244455867	 6.43
  2900	009.1935041613	+44.4885869287	 5.14
  2903	009.1971346123	+15.2317254747	 5.89
  2912	009.2202068945	+33.7193436172	 4.34
  2920	009.2428525095	+53.8969093704	 3.69
  2926	009.2799565577	+24.0141364672	 6.18
  2937	009.3260254513	-54.3938190115	 6.40
  2941	009.3362527425	-24.7672670859	 5.57
  2942	009.3384142077	+35.3995014529	 5.45
  2954	009.3770467769	+03.1353510676	 6.43
  3031	009.6389407748	+29.3117514429	 4.34
  3056	009.7032614957	-25.1078188516	 6.43
  3083	009.7912254201	+49.3545886203	 5.45
  3092	009.8319823626	+30.8610239320	 3.27
  3093	009.8408586554	+21.2504724513	 5.88
  3132	009.9468636660	+82.4937624068	 6.38
  3137	009.9664578304	-44.7962925724	 6.00
  3138	009.9815489955	+21.4384951048	 5.36
  3170	010.1069577122	-59.4546043214	 5.89
  3175	010.1190937048	-16.5166760554	 6.49
  3179	010.1268354780	+56.5373310888	 2.24
  3185	010.1367040584	-23.8048760530	 6.14
  3193	010.1765508693	-04.3518407044	 5.90
  3231	010.2799355025	+39.4586640697	 5.30
  3245	010.3314653654	-46.0850068122	 4.59
  3269	010.4001768538	+24.6290084647	 6.06
  3277	010.4433216458	-56.5013155271	 5.72
  3299	010.5142567568	+66.1475923287	 5.83
  3300	010.5162313392	+50.5125257600	 4.80
  3330	010.6182214759	-65.4680300752	 5.38
  3334	010.6293435689	+58.7534106531	 6.18
  3352	010.6747910863	-60.2628075907	 5.99
  3356	010.6787158493	-38.4634826410	 6.05
  3405	010.8384935116	-57.4630599564	 4.36
  3414	010.8669572737	+47.0245462505	 4.95
  3419	010.8973794016	-17.9866045956	 2.04
  3436	010.9587002126	-12.0118125824	 6.01
  3455	011.0475055091	-10.6095504417	 4.77
  3456	011.0504137605	-38.4216856581	 5.90
  3478	011.1091320286	+47.8639837569	 5.66
  3489	011.1318908305	-62.4975907308	 6.06
  3504	011.1813237995	+48.2843640991	 4.48
  3505	011.1849822641	-22.0061352303	 5.22
  3521	011.2377210263	-42.6765584903	 5.94
  3527	011.2497530806	-53.7148950193	 6.15
  3544	011.3215604381	+55.2213957208	 5.41
  3552	011.3505238519	-04.6291598896	 6.15
  3559	011.3695327712	-12.8808095967	 6.15
  3572	011.4128236020	+74.9880730680	 5.64
  3576	011.4237810288	-16.4242198435	 6.47
  3583	011.4399708050	-47.5519852698	 5.80
  3604	011.5450560984	+44.8614971167	 6.03
  3607	011.5489739316	-22.5220969535	 5.49
  3632	011.6373257374	+15.4755044608	 5.36
  3641	011.6604416259	+69.3254084780	 6.39
  3649	011.6769136309	+59.5745390811	 6.41
  3675	011.7560771068	+11.9738492789	 5.51
  3685	011.8067788936	+19.5787024073	 6.11
  3693	011.8346891868	+24.2671779916	 4.08
  3697	011.8484660326	+06.7409564125	 5.98
  3717	011.9300844660	-18.0613390289	 5.70
  3721	011.9418885488	+74.8475729525	 5.42
  3741	012.0044439226	-21.7224922129	 5.57
  3750	012.0380725412	+72.6744817266	 5.86
  3760	012.0725420711	+07.2999280581	 5.92
  3765	012.0957381712	+05.2806149287	 5.74
  3781	012.1475720513	-74.9234376295	 5.09
  3786	012.1706012202	+07.5850791655	 4.44
  3801	012.2084223870	+50.9681676719	 4.90
  3807	012.2363657568	-46.6976476801	 6.28
  3810	012.2446178799	+16.9406437729	 5.07
  3821	012.2762132349	+57.8151873428	 3.46
  3834	012.3081165344	-24.1366717196	 5.90
  3849	012.3567321372	-13.5612743156	 5.59
  3858	012.3892913867	-23.3621437753	 6.27
  3881	012.4535303590	+41.0789108684	 4.53
  3885	012.4715241594	+27.7102862581	 5.55
  3903	012.5156961326	-43.3949211036	 6.49
  3909	012.5316292361	-10.6443256856	 5.17
  3919	012.5760990826	+45.0022576336	 6.13
  3949	012.6716101003	-50.9868156468	 5.24
  3951	012.6817163513	+64.2475496073	 5.35
  3965	012.7391481471	+51.5080325178	 6.38
  3988	012.8182623869	+61.8054936849	 6.04
  3992	012.8263502322	+03.3850199694	 6.39
  4023	012.8907829963	+51.5714266311	 6.22
  4104	013.1692699071	-24.0058440519	 5.47
  4147	013.2520595975	-01.1442601937	 4.78
  4151	013.2674859956	+61.1239698635	 4.80
  4164	013.3019199277	-24.7768758290	 6.44
  4185	013.3675976184	+37.4182094290	 6.07
  4200	013.4078082397	-62.8713516896	 5.73
  4212	013.4483306651	+52.6892934150	 6.27
  4257	013.5733037558	-08.7406616225	 6.15
  4267	013.6467784275	+19.1884174190	 5.80
  4283	013.7212232426	+83.7074355570	 5.59
  4288	013.7421131758	+23.6283351649	 5.46
  4292	013.7506521943	+58.9726976706	 4.83
  4293	013.7513024270	-69.5270842446	 5.45
  4298	013.7716810078	+48.6785201427	 6.28
  4317	013.8111357150	+24.5570619564	 6.19
  4346	013.9266672998	-07.3471489075	 5.88
  4363	013.9814030011	-27.7758394558	 6.11
  4366	013.9937885256	+27.2093809149	 6.08
  4371	014.0062087359	-11.2665263187	 5.35
  4382	014.0380045465	+13.9519605086	 6.46
  4383	014.0540533812	+57.9965571597	 6.20
  4422	014.1662713014	+59.1810556422	 4.62
  4427	014.1772155391	+60.7167403752	 2.15
  4436	014.1883814764	+38.4993446221	 3.86
  4440	014.1957219769	+60.3628360962	 5.56
  4446	014.2297759455	+68.7756569478	 6.39
  4463	014.3016665677	+23.4176480186	 4.40
  4475	014.3316908734	+61.4218953974	 6.44
  4501	014.4151887291	+45.8393788254	 6.10
  4510	014.4589661719	+28.9922167146	 5.44
  4520	014.4771323349	+13.6958650900	 6.30
  4552	014.5592464356	+33.9508845502	 5.99
  4558	014.5787166375	+21.4044948374	 6.47
  4563	014.5926190781	-60.6962389850	 6.23
  4572	014.6294255114	+66.3517933508	 5.97
  4577	014.6515037581	-29.3574490475	 4.30
  4587	014.6827824065	-11.3799754569	 5.62
  4655	014.9570275197	+06.4832252024	 6.14
  4675	015.0148302861	+44.7132429128	 5.69
  4709	015.1291864976	+70.9829884405	 6.40
  4770	015.3261485760	-38.9165273465	 5.59
  4786	015.3626839697	+49.5442200261	 6.48
  4801	015.4110197973	-16.2655731973	 6.47
  4829	015.5075866808	-57.0023891129	 6.12
  4844	015.5769373539	+51.0349379778	 6.48
  4852	015.6101383190	-31.5520051238	 5.50
  4879	015.6787777412	-65.4561018155	 6.25
  4889	015.7045718353	+31.8042628997	 5.50
  4890	015.7049578113	-46.3973113711	 5.39
  4903	015.7260945015	+41.3451574121	 5.95
  4906	015.7358684485	+07.8901354627	 4.27
  4911	015.7564460150	+47.3761578889	 6.46
  4914	015.7605671568	-04.8366005984	 5.40
  4932	015.8237310112	-29.5258480800	 6.28
  4962	015.9041904611	+61.0748226256	 5.92
  4979	015.9542838933	+01.3668462607	 6.06
  4998	016.0099561097	+52.5021608532	 5.99
  5021	016.0810457268	+61.5801838845	 5.83
  5034	016.1151121745	+29.6588063512	 6.20
  5042	016.1357384023	-33.5328451923	 6.44
  5074	016.2193225264	+05.6562616876	 6.03
  5081	016.2723152287	+14.9461334815	 5.64
  5121	016.4036775686	-09.9793227022	 6.09
  5131	016.4206472248	+21.4731813944	 5.33
  5132	016.4237992294	+21.4654424820	 5.55
  5141	016.4551211741	+04.9083720719	 6.35
  5165	016.5210283966	-46.7184136142	 3.32
  5164	016.5214515527	-09.8393541340	 5.58
  5170	016.5320982430	-23.9924507023	 6.12
  5175	016.5466705536	+32.1814853390	 6.28
  5204	016.6401115881	+12.9560394753	 6.14
  5240	016.7507247186	+56.9349724182	 6.41
  5251	016.7894086867	+53.4981851105	 6.31
  5259	016.8038469375	-23.9963336200	 6.36
  5268	016.8277652124	-61.7752892889	 5.36
  5296	016.9425356183	-09.7855503847	 5.71
  5300	016.9493888157	-41.4869160801	 5.21
  5310	016.9881803193	+20.7391125839	 5.56
  5315	016.9986004483	+01.9930418483	 6.44
  5317	017.0035372429	+43.9420920270	 5.04
  5319	017.0056018521	+32.0121298678	 6.23
  5336	017.0683075463	+54.9203396861	 5.17
  5346	017.0924930928	+05.6498190670	 5.51
  5348	017.0961739626	-55.2457601625	 3.94
  5361	017.1394447150	+58.2634492554	 5.77
  5364	017.1474649017	-10.1822642183	 3.46
  5372	017.1869886475	+86.2570904138	 4.24
  5412	017.3007866151	+80.0115794147	 6.24
  5434	017.3755227202	+47.2417924542	 4.26
  5447	017.4330149260	+35.6205576976	 2.07
  5454	017.4550080784	+19.6584081014	 5.57
  5477	017.5307238230	-57.6944186876	 6.41
  5483	017.5476718735	+15.6739116771	 6.07
  5485	017.5497794605	-08.9061352578	 6.40
  5493	017.5780850689	+42.0814749118	 5.67
  5494	017.5810471805	+25.4577634143	 5.81
  5510	017.6398010492	+02.4456696769	 5.97
  5518	017.6638430722	+68.7786207982	 5.32
  5542	017.7756750772	+55.1499006393	 4.34
  5544	017.7781971195	+31.4247363347	 5.15
  5550	017.7928230572	+37.7241212233	 5.80
  5566	017.8565476222	+64.2026769701	 5.56
  5571	017.8634174961	+21.0346500376	 4.66
  5575	017.8707177851	+10.2919082165	 6.49
  5586	017.9151533984	+30.0896382066	 4.51
  5589	017.9225073926	+65.0188537672	 5.57
  5594	017.9312866424	-02.2510788526	 5.93
  5626	018.0700887600	+79.6739629834	 5.60
  5650	018.1420054998	+45.3375308901	 6.13
  5661	018.1893035472	-37.8564786736	 5.95
  5679	018.2478080174	+30.0642293301	 6.24
  5688	018.2910548475	+61.7061882759	 6.40
  5737	018.4328572040	+07.5753537624	 5.21
  5742	018.4372798013	+24.5837131464	 4.67
  5743	018.4386070335	+07.5782612364	 6.44
  5772	018.5204462048	+28.5295749303	 6.33
  5778	018.5317900711	+16.1334785780	 5.97
  5799	018.6001658937	-07.9228257263	 5.14
  5824	018.6766326076	+06.9951361382	 6.04
  5833	018.7048833603	-00.9737947524	 5.70
  5862	018.7963376214	-45.5316642163	 4.97
  5896	018.9423365428	-68.8759273318	 4.25
  5926	019.0495782736	+71.7438425119	 5.87
  5928	019.0549587245	+87.1454961616	 6.20
  5936	019.0788411257	+33.1147200773	 6.04
  5947	019.1286566770	+79.9100128421	 6.27
  5951	019.1511999644	-02.5003682340	 5.42
  5992	019.2656602931	-66.3978541941	 6.23
  5993	019.2710990297	+44.9019922500	 6.11
  6025	019.3504698317	+31.7446171794	 6.36
  6061	019.4498158754	+03.6144660085	 5.13
  6087	019.5422855795	+47.4197060544	 6.29
  6093	019.5578486969	+57.8031657690	 6.39
  6140	019.6958721185	+37.3862748175	 6.44
  6193	019.8666462167	+27.2640585769	 4.74
  6226	019.9512302040	-00.5090287090	 5.87
  6242	020.0204842223	+58.2316107771	 4.95
  6261	020.0808376493	+77.5706824317	 6.31
  6272	020.1158649579	-11.2389994521	 6.16
  6283	020.1440499515	-03.2469898100	 6.26
  6312	020.2719449203	+64.6581309486	 6.33
  6315	020.2807205350	+28.7382070765	 5.23
  6378	020.4962738647	+76.2388042467	 6.37
  6411	020.5850826223	+45.5287778187	 4.87
  6427	020.6270034917	-19.0812076345	 6.35
  6429	020.6451251269	-00.4496730151	 6.50
  6432	020.6539708421	+01.7263323897	 6.21
  6486	020.8392436952	+58.1429937758	 6.36
  6492	020.8539541175	+20.4689672958	 5.97
  6502	020.8789896054	-30.9456173824	 5.84
  6512	020.9061478886	+34.2458871599	 6.28
  6514	020.9192337795	+37.7149426036	 5.60
  6522	020.9450123246	+78.7260561550	 6.07
  6537	021.0058542433	-08.1832565533	 3.60
  6539	021.0105798294	-08.0074159405	 6.21
  6564	021.0854297717	-06.9146560855	 5.92
  6589	021.1663866549	-15.6604680629	 6.17
  6592	021.1699435808	-41.4925486347	 5.42
  6595	021.1746428793	-44.5285750928	 6.26
  6605	021.2028368881	-02.8485899742	 6.17
  6631	021.2721112981	-64.3694778624	 5.92
  6669	021.3986584363	+23.5115193203	 6.18
  6670	021.4051455354	-14.5987962971	 4.90
  6685	021.4429969529	+70.9798874696	 6.34
  6686	021.4539679497	+60.2352831738	 2.66
  6687	021.4681849207	-03.9273907322	 6.50
  6692	021.4834238681	+68.1300125768	 4.72
  6702	021.5366040003	+34.5797003551	 6.34
  6706	021.5635918860	+19.1723456544	 5.35
  6711	021.5778583271	+43.4577391323	 5.98
  6714	021.5983195155	+20.0708042376	 6.44
  6717	021.6139478581	-00.3990338847	 6.42
  6732	021.6736599884	+19.2404220134	 5.50
  6748	021.7148546032	-13.0565120107	 5.51
  6776	021.7763687103	+34.3775520506	 6.27
  6789	021.8471237779	-22.3382318815	 6.43
  6794	021.8611371287	+41.1011578018	 6.42
  6813	021.9140905940	+45.4066871550	 4.83
  6822	021.9439288765	-10.9015821012	 6.13
  6867	022.0913627655	-43.3182339107	 3.41
  6868	022.0954777419	+07.9613530414	 6.22
  6952	022.3772465881	-46.7564218411	 6.25
  6960	022.4005631296	-21.6293389435	 5.11
  6971	022.4283950863	-25.6177490961	 6.37
  6981	022.4702642483	+18.3556689533	 6.01
  6999	022.5254273412	+47.0072737385	 5.27
  7007	022.5463127990	+06.1438204590	 4.84
  7016	022.5954381043	-26.2078512172	 5.92
  7050	022.7171662919	+66.0980874757	 6.15
  7078	022.8073171038	+70.2646038751	 5.82
  7083	022.8129358839	-49.0727022172	 3.93
  7097	022.8708726104	+15.3458230135	 3.62
  7115	022.9125242597	-45.5757120747	 6.17
  7118	022.9302024012	-30.2830814019	 5.79
  7147	023.0315698070	+34.7999623594	 6.39
  7189	023.1515292470	-49.7277127229	 6.27
  7213	023.2335508634	-36.8652310232	 5.49
  7243	023.3261588485	+08.2087378658	 6.31
  7251	023.3571334678	+58.3273339036	 5.69
  7271	023.4132139810	-78.5048199067	 6.11
  7276	023.4284875019	-07.0253408558	 5.75
  7283	023.4613348784	+89.0156394944	 6.46
  7294	023.4828203716	+59.2320403096	 4.68
  7321	023.5691936380	+37.2371464883	 5.90
  7345	023.6574115361	-15.6763591895	 5.62
  7359	023.7044411286	+18.4605121578	 5.90
  7361	023.7116019807	-31.8923170780	 6.11
  7362	023.7138258982	-03.5238894789	 6.44
  7363	023.7148784128	-23.6996814915	 6.41
  7387	023.8125976237	-58.1394747032	 6.03
  7436	023.9435117231	+14.6614225235	 6.23
  7443	023.9606927936	-39.9471262156	 6.43
  7444	023.9690650120	+41.0764203461	 6.39
  7447	023.9781518084	+17.4338410802	 5.95
  7450	023.9957032134	-15.4001829546	 5.41
  7463	024.0354568166	-29.9073169815	 5.69
  7493	024.1133324046	+48.7227760629	 6.20
  7505	024.1813581859	+07.8315289410	 6.39
  7506	024.1866498349	-58.2709658826	 6.18
  7513	024.1993449112	+41.4054588427	 4.10
  7535	024.2746528060	+12.1415347883	 5.54
  7568	024.3666743119	-84.7695931728	 5.66
  7580	024.4071029685	-09.4037818092	 6.24
  7588	024.4285273649	-57.2367574860	 0.45
  7593	024.4466591439	+64.7393570840	 6.49
  7597	024.4669535464	-03.4406778624	 6.43
  7601	024.4815140560	-82.9749953857	 5.88
  7607	024.4981504642	+48.6282131667	 3.59
  7617	024.5315290997	+57.9776314147	 5.55
  7643	024.6145187719	-36.5282507028	 5.94
  7650	024.6288228657	+73.0400398737	 5.28
  7651	024.6326005982	+45.3997064740	 6.38
